Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
239,0.239,-0.000270,0.002801,-0.002729,0.010340,0.012734,-0.023093,-0.002739,0.029450
240,0.240,-0.001495,-0.004484,0.001327,0.009125,0.013729,-0.015021,-0.003610,0.040839
241,0.241,-0.001362,-0.009071,0.001835,0.003528,0.005255,-0.017462,-0.007853,0.042278
242,0.242,0.001477,-0.006546,0.001501,-0.007997,0.006273,-0.006389,-0.011572,0.040878
243,0.243,0.007021,-0.004372,-0.003235,-0.015623,0.003250,0.003637,-0.015116,0.032049
244,0.244,-0.000976,0.000513,0.001000,-0.025284,0.000581,0.016535,-0.018155,0.014973
245,0.245,0.004057,0.003540,0.006250,-0.016504,0.004859,0.011329,-0.012898,-0.017196
246,0.246,0.006564,-0.002910,0.015551,0.000569,-0.000349,0.000549,-0.002242,-0.038965
247,0.247,0.007205,0.008227,0.009287,0.007823,-0.005227,-0.020375,0.005367,-0.050565
248,0.248,-0.001450,0.003636,0.003696,0.005603,-0.010983,-0.065479,0.009426,-0.068342
249,0.249,-0.004857,0.002254,0.000632,-0.008636,-0.017942,-0.033257,0.018218,-0.051695
250,0.250,-0.001997,0.005936,-0.000227,0.004361,-0.032033,0.007600,0.007905,-0.036624
251,0.251,0.004257,0.006916,-0.002778,0.022937,-0.058661,0.023424,0.000969,-0.017412
252,0.252,0.006620,0.009926,-0.000595,0.020538,-0.062288,0.037739,-0.000216,-0.000148
253,0.253,0.004255,0.012591,-0.001285,0.018303,-0.059155,0.059697,-0.003445,-0.011262
254,0.254,0.006130,0.004776,-0.007049,0.020295,-0.032159,0.063568,-0.008694,-0.021310
255,0.255,0.004289,-0.000508,-0.003334,0.018397,-0.006852,0.067093,-0.009569,-0.026764
256,0.256,0.011763,-0.005103,-0.008252,0.009901,0.022857,0.070281,-0.010431,-0.041796
257,0.257,0.006398,-0.012921,-0.006570,0.011386,0.050714,0.061438,-0.015700,-0.039548
258,0.258,0.005442,-0.011941,-0.006068,0.001711,0.054221,0.036682,-0.013704,-0.022639
259,0.259,0.004494,-0.012825,-0.008612,-0.017258,0.044371,0.013633,-0.013245,-0.011352
260,0.260,0.000694,-0.017091,-0.001688,-0.019981,0.047217,0.004796,-0.012797,-0.017309
